current section,qubit state generated,qubit state targeted,question generated time stamp,question component index,user answer,user answered time stamp,general time stamp
Section 2 Assesment 1,[ 1 + 0i][ 0 + 0i],[ 0.70711 + 0i][ 0.5 + -0.5i],4/21/2021 4:46:17 PM,0,empty,4/21/2021 4:46:15 PM,4/21/2021 4:46:17 PM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0 + 0.70711i],[ 1 + 0i][ 0 + 0i],4/21/2021 4:46:51 PM,0,empty,4/21/2021 4:46:45 PM,4/21/2021 4:46:51 PM
Section 1 Assessment 1,equator,equator,4/26/2021 8:05:17 AM,0,equator,4/26/2021 8:05:18 AM,4/26/2021 8:05:18 AM
Section 1 Assessment 1,likely_up,likely_up,4/26/2021 8:05:19 AM,0,likely_down,4/26/2021 8:05:21 AM,4/26/2021 8:05:21 AM
Section 1 Assessment 1,likely_down,likely_down,4/26/2021 8:05:22 AM,0,likely_down,4/26/2021 8:05:23 AM,4/26/2021 8:05:23 AM
Section 1 Assessment 1,up,up,4/26/2021 8:05:24 AM,0,up,4/26/2021 8:05:25 AM,4/26/2021 8:05:25 AM
Section 1 Assessment 1,likely_up,likely_up,4/26/2021 8:05:26 AM,0,likely_up,4/26/2021 8:05:28 AM,4/26/2021 8:05:28 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0 + 0.70711i],[ 0.70711 + 0i][ 0 + -0.70711i],4/26/2021 8:08:12 AM,0,empty,,4/26/2021 8:08:12 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0.70711 + 0i],[ 0.70711 + 0i][ 0 + 0.70711i],4/26/2021 8:08:18 AM,0,empty,4/26/2021 8:08:16 AM,4/26/2021 8:08:18 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0 + -0.70711i],[ 0.70711 + 0i][ 0.5 + -0.5i],4/26/2021 8:08:23 AM,0,empty,4/26/2021 8:08:22 AM,4/26/2021 8:08:23 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0.70711 + 0i],[ 1 + 0i][ 0 + 0i],4/26/2021 8:08:35 AM,0,empty,4/26/2021 8:08:34 AM,4/26/2021 8:08:35 AM
Section 2 Assesment 1,[ 0 + 0i][ 1 + 0i],[ 0.70711 + 0i][ 0.70711 + 0i],4/26/2021 8:08:41 AM,0,empty,4/26/2021 8:08:40 AM,4/26/2021 8:08:41 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0.5 + 0.5i],[ 0.70711 + 0i][ 0 + -0.70711i],4/26/2021 8:08:52 AM,0,empty,4/26/2021 8:08:50 AM,4/26/2021 8:08:52 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0 + 0.70711i],[ 0.70711 + 0i][ 0.70711 + 0i],4/26/2021 8:09:01 AM,0,empty,4/26/2021 8:09:00 AM,4/26/2021 8:09:01 AM
Section 2 Assesment 1,[ 1 + 0i][ 0 + 0i],[ 0.70711 + 0i][ 0 + 0.70711i],4/26/2021 8:09:09 AM,0,empty,4/26/2021 8:09:08 AM,4/26/2021 8:09:09 AM
Section 2 Assesment 1,[ 0.70711 + 0i][ 0 + 0.70711i],[ 1 + 0i][ 0 + 0i],4/26/2021 8:09:15 AM,0,empty,4/26/2021 8:09:14 AM,4/26/2021 8:09:15 AM
Section 2 Assesment 1,[ 0 + 0i][ 1 + 0i],[ 0.70711 + 0i][ -0.5 + 0.5i],4/26/2021 8:09:38 AM,0,empty,4/26/2021 8:09:36 AM,4/26/2021 8:09:38 AM
